2018-07-03T04:50:13.513Z - info: Pages built
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-tick-brooks.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\popOvers.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\references.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\ides.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\intellij.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\javaTools.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\testing.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\revisionControl.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\gitAndGithub.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\exercises.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\q-tick-ideFeatures.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\exercises.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\q-essay-relateConcepts.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\exercises.md
2018-07-03T06:26:46.224Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\q-tick-definition.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\q-essay-explain.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\what\resources.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\exercises.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-rcs-definition.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-revision-definition.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-tick-rcs-benefits.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\q-essay-rcs-explain.md
2018-07-03T06:26:46.225Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\exercises.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\q-essay-repo-definition.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\sourcetree.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\cli.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_1.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_1.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_2.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_2.md
2018-07-03T06:26:46.226Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\sourcetree_3.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\cli_3.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\resources.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\sourcetree.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\cli.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\tutorial.md
2018-07-03T06:26:46.227Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\lecture.md
2018-07-03T06:26:48.886Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\index.md
2018-07-03T06:26:48.887Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\brainstorming\text.md
2018-07-03T06:26:48.887Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gatheringRequirements\path.md
2018-07-03T06:26:48.887Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\introduction\text.md
2018-07-03T06:26:48.887Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\specifyingRequirements\userStories\path.md
